"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"MH_E";"MH_EM";"MH_EW";"MH_U1";"MH_1U6";"MH_6U15";"MH_15U18";"MH_18U25";"MH_25U55";"MH_55U65";"MH_65U80";"MH_80U110";"HK_EU15";"HK_EU27";"HK_Polen";"HK_EheJug";"HK_EheSU";"HK_Turk";"HK_Arab";"HK_Sonst";"HK_NZOrd";"E_A";"E_AM";"E_AW";"E_AU1";"E_A1U6";"E_A6U15";"E_A15U18";"E_A18U25";"E_A25U55";"E_A55U65";"E_A65U80";"E_A80U110";"E_E";"E_EM";"E_EW";"E_U1";"E_1U6";"E_6U15";"E_15U18";"E_18U25";"E_25U55";"E_55U65";"E_65U80";"E_80U110"
201012;3061228;3;6;12;28;1;1420;708;712;29;116;92;46;145;856;63;55;18;346;592;123;45;153;76;52;478;24;871;459;412;0;21;24;25;111;639;30;12;9;11866;5736;6130;106;446;394;139;1197;6419;902;1707;556
201012;3061332;3;6;13;32;1;4092;2061;2031;67;395;351;44;306;2762;104;54;9;1595;2073;223;100;282;97;73;1359;108;2615;1339;1276;3;51;50;19;256;2132;80;24;0;20543;10442;10101;303;1437;1289;220;1278;14401;854;577;184
201012;3061429;3;6;14;29;1;715;332;383;12;70;85;25;76;304;41;84;18;63;280;86;30;105;39;24;217;20;350;161;189;0;6;19;3;51;237;28;6;0;10067;4616;5451;56;266;423;110;709;3112;1342;3108;941
201012;3061430;3;6;14;30;1;304;156;148;7;26;16;12;32;141;22;45;3;45;105;24;27;42;15;15;90;10;161;88;73;4;7;4;6;10;108;19;3;0;2903;1384;1519;18;98;133;52;190;1154;328;749;181
201012;3061434;3;6;14;34;1;759;382;377;13;65;48;6;77;489;28;24;9;201;378;83;9;65;13;32;253;9;493;239;254;4;3;18;3;56;379;15;9;6;5611;2811;2800;85;275;210;48;598;3502;339;408;146
201012;3061435;3;6;14;35;1;580;295;285;6;70;66;12;57;320;20;22;7;101;193;31;41;72;9;19;236;10;360;184;176;3;18;24;9;44;242;14;6;0;3839;1902;1937;43;195;199;48;371;2152;286;402;143
201012;3061441;3;6;14;41;1;208;84;124;9;45;27;6;9;106;6;0;0;65;100;15;12;22;6;3;52;13;82;27;55;3;3;0;6;6;61;3;0;0;1300;645;655;38;165;117;19;65;740;58;79;19
201012;3071536;3;7;15;36;1;2532;1298;1234;50;269;193;31;230;1665;37;51;6;1042;1311;124;45;152;58;48;851;67;1658;844;814;9;40;39;9;192;1302;37;27;3;9767;5057;4710;184;710;588;121;607;6765;387;303;102
201012;3071537;3;7;15;37;1;2949;1474;1475;50;283;302;62;196;1859;129;62;6;1218;1535;145;27;218;54;74;963;78;1912;957;955;3;49;54;25;165;1487;85;41;3;13797;7054;6743;214;890;1020;215;794;9067;822;657;118
201012;3071633;3;7;16;33;1;333;173;160;3;26;69;12;18;157;21;27;0;25;72;19;22;51;24;10;150;4;180;86;94;3;6;16;6;12;119;9;9;0;2509;1243;1266;18;72;207;58;182;1069;395;373;135
201012;3071638;3;7;16;38;1;3180;1513;1667;65;308;281;44;294;2010;124;51;3;1203;1615;187;69;248;84;69;1027;68;2040;998;1042;16;47;40;19;221;1582;97;18;0;15634;7903;7731;245;1103;1005;193;1109;10111;786;925;157
201012;3071639;3;7;16;39;1;2152;1119;1033;49;233;225;28;181;1287;64;72;13;766;1144;223;98;140;54;66;566;84;1315;703;612;3;27;40;15;154;1006;43;24;3;11663;5780;5883;178;954;860;128;727;7263;642;671;240
201012;4010101;4;1;1;1;2;3334;1687;1647;44;246;327;102;227;1701;392;246;49;212;1008;663;243;287;673;197;628;298;1590;807;783;9;37;67;39;115;966;208;121;28;9706;4547;5159;76;404;582;191;639;4021;1274;1736;783
201012;4010102;4;1;1;2;2;160;119;41;0;6;12;3;16;87;24;9;3;19;55;21;27;13;18;6;31;10;115;87;28;0;0;3;3;13;66;21;6;3;749;453;296;0;14;28;12;63;320;130;144;38
201012;4010103;4;1;1;3;2;2941;1422;1519;46;258;379;124;220;1420;252;205;37;110;762;585;168;544;687;220;317;243;1260;594;666;3;44;89;49;73;743;135;105;19;7198;3363;3835;52;346;554;181;543;2894;762;1462;404
201012;4020204;4;2;2;4;2;46;24;22;0;4;8;3;6;19;0;6;0;19;22;0;7;0;0;3;7;7;25;13;12;0;0;0;3;6;10;0;6;0;140;80;60;0;7;15;6;10;66;18;18;0
201012;4020205;4;2;2;5;2;242;131;111;0;18;40;0;15;123;34;12;0;67;95;13;30;6;9;12;67;23;140;73;67;0;3;9;0;15;95;9;9;0;1234;609;625;9;52;96;15;97;483;203;225;54
201012;4020206;4;2;2;6;2;404;212;192;6;24;27;18;27;185;50;52;15;78;153;53;19;47;18;18;96;53;213;107;106;0;3;9;3;15;115;32;24;12;2550;1115;1435;9;48;62;36;72;656;415;940;312
201012;4020207;4;2;2;7;2;651;302;349;3;53;90;18;32;311;96;36;12;125;215;57;37;65;61;33;182;58;341;151;190;0;4;16;9;25;201;57;20;9;2616;1206;1410;15;103;223;58;126;1056;353;504;178
201012;4020208;4;2;2;8;2;591;261;330;0;37;105;29;30;267;55;56;12;156;265;73;3;43;27;13;145;95;279;134;145;0;9;18;6;15;169;28;31;3;2729;1319;1410;10;104;286;97;113;986;333;642;158
201012;4020209;4;2;2;9;2;1065;549;516;6;27;85;34;238;568;67;30;10;269;409;70;18;112;12;51;363;100;765;398;367;0;6;5;0;216;480;30;18;10;3104;1530;1574;15;108;295;86;447;1209;342;463;139
201012;4020310;4;2;3;10;2;243;128;115;0;12;15;0;59;136;12;9;0;18;65;26;9;15;12;21;112;9;189;98;91;0;3;9;0;47;109;12;9;0;607;315;292;0;15;28;3;135;258;71;79;18
201012;4020311;4;2;3;11;2;3268;1635;1633;47;181;390;124;253;1533;412;262;66;728;1252;310;155;296;303;207;721;334;1723;854;869;9;18;85;23;166;983;244;138;57;13750;6377;7373;97;467;875;293;809;4991;2058;3149;1011
201012;4020312;4;2;3;12;2;1118;525;593;3;63;114;38;57;592;135;83;33;207;387;90;52;115;103;43;296;122;578;278;300;0;15;18;3;36;370;85;36;15;4781;2147;2634;21;142;298;102;261;1897;690;1010;360
