"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"MH_E.x";"MH_EM";"MH_EW";"MH_U1";"MH_1U6";"MH_6U15";"MH_15U18";"MH_18U25";"MH_25U55";"MH_55U65";"MH_65U80";"MH_80U110";"MH_E.y";"HK_EU15";"HK_EU28";"HK_Polen";"HK_EheJug";"HK_EheSU";"HK_Turk";"HK_Arab";"HK_Sonst";"HK_NZOrd";"E_A";"E_AM";"E_AW";"E_AU1";"E_A1U6";"E_A6U15";"E_A15U18";"E_A18U25";"E_A25U55";"E_A55U65";"E_A65U80";"E_A80U110";"E_E";"E_EM";"E_EW";"E_EU1";"E_E1U6";"E_E6U15";"E_E15U18";"E_E18U25";"E_E25U55";"E_E55U65";"E_E65U80";"E_E80U110"
201412;8030831;8;3;8;31;2;7685;3805;3880;113;608;1064;386;645;3466;856;457;90;7685;215;1819;1354;594;619;2669;568;488;928;2984;1437;1547;9;44;114;107;282;1768;310;306;44;16867;7971;8896;149;794;1449;523;1329;6332;2010;3308;973
201412;8040932;8;4;9;32;2;707;343;364;13;83;118;25;42;295;74;48;9;707;42;213;141;56;63;180;72;30;93;267;111;156;0;13;18;10;21;153;25;24;3;2757;1274;1483;19;126;204;62;154;881;380;717;214
201412;8040933;8;4;9;33;2;1080;534;546;18;71;97;58;125;519;110;70;12;1080;79;240;95;101;42;362;83;86;166;448;220;228;3;12;3;9;54;273;39;52;3;3941;1858;2083;27;108;189;98;287;1456;559;922;295
201412;8040934;8;4;9;34;2;729;365;364;6;57;120;28;62;352;79;13;12;729;64;179;91;53;41;231;55;54;116;286;141;145;0;9;18;6;28;170;36;10;9;2686;1297;1389;19;109;225;67;218;1062;427;461;98
201412;8041035;8;4;10;35;2;1926;939;987;20;145;290;97;169;906;174;110;15;1926;136;469;220;272;70;485;111;179;340;756;357;399;7;15;31;22;73;445;66;85;12;7847;3877;3970;48;293;602;237;548;2895;1187;1702;335
201412;8041036;8;4;10;36;2;1253;645;608;9;88;187;72;77;555;146;98;21;1253;103;488;284;145;57;202;64;157;140;519;256;263;0;6;28;24;27;275;52;86;21;6802;3366;3436;37;208;509;226;521;2483;1073;1443;302
201412;8041037;8;4;10;37;2;1902;940;962;27;123;294;110;160;805;242;120;21;1902;195;674;360;223;99;368;142;214;182;838;430;408;3;29;64;24;84;433;109;77;15;9632;4688;4944;66;299;672;288;673;3488;1449;2181;516
201412;8041038;8;4;10;38;2;1234;619;615;24;94;172;70;101;529;141;78;25;1234;122;405;208;67;46;294;69;191;162;389;195;194;0;6;12;6;36;207;55;51;16;6690;3269;3421;45;249;481;205;486;2384;922;1494;424
201412;8041039;8;4;10;39;2;1073;519;554;12;107;194;56;73;515;83;27;6;1073;89;347;199;80;37;281;79;105;144;350;156;194;3;0;28;6;24;226;33;27;3;3725;1747;1978;42;203;368;156;300;1697;375;370;214
201412;8041040;8;4;10;40;2;1589;787;802;14;121;248;114;112;705;163;97;15;1589;115;547;369;106;116;387;88;174;171;551;259;292;0;9;12;25;43;338;62;50;12;7991;3800;4191;53;346;705;320;605;3058;1157;1441;306
